rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7yDHHVKLbvDmVw1XXhDDIO","Vishal Mishra, Raj Shekhar","Pehle Bhi Main","T-Series",1,1,7,"9456893"
2,"spotify:track:0TL0LFcwIBF5eX7arDIKxY","Anuv Jain","Husn","Universal Music India Pvt. Ltd. (on behalf of Anuv Jain)",2,2,7,"9068287"
3,"spotify:track:3yHyiUDJdz02FZ6jfUbsmY","Arijit Singh, Shreyas Puranik, Siddharth - Garima","Satranga (From ""ANIMAL"")","T-Series",2,3,12,"7664671"
4,"spotify:track:3zSSCPpLZ5Oc8nelhhGjKz","AUR","Tu hai kahan","Sony Music Entertainment",1,4,14,"6190868"
5,"spotify:track:1BpvuKIG7jK5EiTp2tv5z8","Shubh","King Shit","SHUBH",5,10,2,"5336691"
6,"spotify:track:6bmmHeCvZI92pRiTHxEdTC","Pritam, Arijit Singh, Irshad Kamil","O Maahi","T-Series",5,5,5,"5196579"
7,"spotify:track:3xMHXmedL5Rvfxmiar9Ryv","Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar","Chaleya","T-Series",1,6,23,"5134550"
8,"spotify:track:5ZLkihi6DVsHwDL3B8ym1t","Shubh","One Love","SHUBH",3,8,22,"4901006"
9,"spotify:track:4ApCig0GTR4IEp7Ijsyo3r","Manan Bhardwaj, Bhupinder Babbal","Arjan Vailly","T-Series",1,7,9,"4153008"
10,"spotify:track:5PUXKVVVQ74C3gl5vKy9Li","Jasleen Royal, Arijit Singh, Dulquer Salmaan","Heeriye (feat. Arijit Singh)","Warner Music India",1,11,25,"3723314"
11,"spotify:track:0YxKKO272sacGBJKjf6FnB","Jaani, B Praak","Saari Duniya Jalaa Denge","T-Series",3,9,8,"3595267"
12,"spotify:track:54PRUdMOYzglMGnsg9kIta","Raghav Chaitanya, Manoj Muntashir, Pritam","Hua Main (From ""ANIMAL"")","T-Series",6,12,14,"3271348"
13,"spotify:track:4eBvRhTJ2AcxCsbfTUjoRp","Shubh","Cheques","SHUBH",1,13,34,"3136759"
14,"spotify:track:1hA697u7e1jX2XM8sWA6Uy","Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya","Apna Bana Le","Zee Music Company",1,14,30,"3126594"
15,"spotify:track:6c4Po8zyQjB4cR5XgLhcGb","Prabh Singh, Jay Trak, Rooh Sandhu","9:45","Prabh Singh Official",9,16,28,"2991592"
16,"spotify:track:0UZLaEOSIc5kg0cc7eszqC","Vishal Mishra","Manjha","Desi Music Factory",16,18,86,"2984696"
17,"spotify:track:5BBB2PDgDWi6NBECj0wJiA","Savi Kahlon, The Masterz","Apa Fer Milaangey","Single Track Studios",17,22,3,"2867619"
18,"spotify:track:35FFqjqaPv1Fr9B1GtJdZO","Harshavardhan Rameshwar, Choir","Abrar’s Entry | Jamal Kudu (From ""ANIMAL"")","T-Series",8,17,6,"2772909"
19,"spotify:track:0Jiaz0O4AqnJICa9PxHhaR","Darshan Raval","Mahiye Jinna Sohna","Warner Music India",2,15,30,"2743673"
20,"spotify:track:0YQJoDL6f46J0n1rOVkpxJ","Karan Aujla, Ikky","Softly","WM Canada",4,20,22,"2706158"
