rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",1,1,5,"1344098"
2,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,3,21,"1301581"
3,"spotify:track:2N0SPREDYqILVEFSsWF5N5","V","Love Me Again","BIGHIT MUSIC",2,5,17,"1267093"
4,"spotify:track:3un8UkiPHJjlsrTHQnisXH","Wren Evans, itsnk","Từng Quen","Universal Music Indochina",2,2,6,"1121691"
5,"spotify:track:3Ua0m0YmEjrMi9XErKcNiR","Jimin","Like Crazy","BIGHIT MUSIC",1,4,37,"992765"
6,"spotify:track:3ZbZtdEw9U0uZW4tZItIwq","RHYDER, CoolKid, BAN","Chịu Cách Mình Nói Thua","RHYDER",6,7,2,"861466"
7,"spotify:track:5h1BN75CEh8wdSwE1xrbSe","V","Slow Dancing","BIGHIT MUSIC",2,6,12,"641078"
8,"spotify:track:0kHgteR4TV4LO80wrasDSR","Karik, GDucky","Bạn Đời","WM Vietnam",5,9,10,"574860"
9,"spotify:track:4jWmhzf53Q0ZvZMuGdiR9x","WEAN, tlinh","shhhhhhh..","WEAN",9,11,9,"560942"
10,"spotify:track:5J3m0taZ0W1E9HTE0MwcSv","Low G","Simp Gái 808","Rap Nhà Làm",9,13,8,"559573"
11,"spotify:track:2JuHIbFudHwDqQssgqsH3i","Vũ Phụng Tiên, DT Tập Rap, Drum7","Lệ Lưu Ly","Big Arts Entertainment",6,10,11,"548859"
12,"spotify:track:6KgZf5gZgF1KLNxq1qZgHP","Phương Ly","Anh Là Ngoại Lệ Của Em","WM Vietnam",7,8,9,"547040"
13,"spotify:track:2doGmsaPLdot51o80juiYU","Obito, Shiki, RPT MCK","Đánh Đổi","12 trái lê",7,14,9,"530329"
14,"spotify:track:4exlWP8cokkWVCvyP3kg7c","tlinh, 2pillz","nếu lúc đó","Universal Music Indochina Distributed Labels",1,16,40,"499529"
15,"spotify:track:7jLSThU5Kg1RWt19Leiaxm","RPT MCK, Trung Trần","Chìm Sâu","N0L4B3L",1,17,93,"497214"
16,"spotify:track:4acXEYw7ayyJnm9GXDrqiL","Binz, Nomovodka","Hit Me Up (feat. Nomovodka)","Spacespeakers",4,12,7,"496589"
17,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,15,10,"493416"
18,"spotify:track:3YctJXK6kznnWl68TnYobN","RPT MCK","Anh Đã Ổn Hơn","N0L4B3L",3,24,40,"475555"
19,"spotify:track:0SLhB9JLM4Ksz1XdwK3aQD","Obito, Shiki, VSTRA","Hà Nội","12 trái lê",11,18,9,"435303"
20,"spotify:track:7tFwBnuaGXqiiONukPRaCo","Minh Huy","Miên Man","LOOPS Music",11,20,14,"430620"
21,"spotify:track:25h0TqC9H3BcMA7KjK5nHK","GREY D, tlinh","vaicaunoicokhiennguoithaydoi","M Music Records",2,22,77,"429430"
22,"spotify:track:3K7RddI2L8Wiv7uIbrhfLc","The Masked Singer, Lâm Bảo Ngọc, Hứa Kim Tuyền","Rồi Em Sẽ Gặp Một Chàng Trai Khác","THE MASKED SINGER",19,19,3,"414187"
23,"spotify:track:1o6cYDMHvKOfizi4d9Lqxr","W/N","id 072019","Universal Music Indochina Distributed Labels",3,23,19,"404427"
24,"spotify:track:28bxbqNcAuNxYDZYet6eZ7","RPT MCK, tlinh","Chỉ Một Đêm Nữa Thôi","N0L4B3L",9,28,40,"395057"
25,"spotify:track:4CUvVaAYuXtvYURLFz7EIL","Emcee L (Da LAB), Da LAB, Muộii (Starry Night)","Chuyện Đôi Ta (feat. Muộii)","Yin Yang Media",3,21,105,"391813"
26,"spotify:track:3ukrFH17Zl6iEZ2QJ1Zwiy","RPT Orijinn, Ronboogz","Don't Côi","Rapital",3,26,50,"374645"
